

=== ../Llama3.2-1B nvidia_H100 w_bit=16 a_bit=16 kv_bit=16 batchsize=1 seqlen=2048 tp_size=1 ===
layer_name,OPs,Access,arithmetic_intensity,performance,bound,load_weight,load_act,store_act,load_kv_cache,store_kv_cache,inference_time
q_proj,3.3M,3.3MB,1.00,3.1T,memory,3.3MB,2.6KB,2.6KB,0.00B,0.00B,1.1us
k_proj,819K,822KB,1.00,3.1T,memory,819KB,2.6KB,0.00B,0.00B,640.0B,267.7ns
v_proj,819K,822KB,1.00,3.1T,memory,819KB,2.6KB,0.00B,0.00B,640.0B,267.7ns
out_proj,3.3M,3.3MB,1.00,3.1T,memory,3.3MB,2.6KB,2.6KB,0.00B,0.00B,1.1us
gate_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,2.6KB,7.2KB,0.00B,0.00B,3.0us
up_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,2.6KB,7.2KB,0.00B,0.00B,3.0us
down_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,7.2KB,2.6KB,0.00B,0.00B,3.0us
qk_matmul,5.2M,1.4MB,3.8,11.5T,memory,0.00B,2.6KB,81.9KB,1.3MB,0.00B,454.2ns
sv_matmul,5.2M,1.4MB,3.8,11.5T,memory,0.00B,81.9KB,2.6KB,1.3MB,0.00B,454.2ns
softmax,205K,164KB,1.2,3.8T,memory,0.00B,81.9KB,81.9KB,0.00B,0.00B,53.3ns
attn_norm,9.0K,5.1KB,1.8,5.4T,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
mlp_norm,9.0K,5.1KB,1.8,5.4T,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
attn_add,1.3K,5.1KB,0.25,768G,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
mlp_add,1.3K,5.1KB,0.25,768G,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
mlp_act,7.2K,16.9KB,0.42,1.3T,memory,0.00B,14.3KB,2.6KB,0.00B,0.00B,5.5ns
lm_head,164M,329MB,0.50,1.5T,memory,328MB,2.6KB,257KB,0.00B,0.00B,107.0us


=== ../Llama3.2-1B nvidia_H100 w_bit=16 a_bit=16 kv_bit=16 batchsize=1 seqlen=1024 tp_size=1 ===
layer_name,OPs,Access,arithmetic_intensity,performance,bound,load_weight,load_act,store_act,load_kv_cache,store_kv_cache,inference_time
q_proj,3.3M,3.3MB,1.00,3.1T,memory,3.3MB,2.6KB,2.6KB,0.00B,0.00B,1.1us
k_proj,819K,822KB,1.00,3.1T,memory,819KB,2.6KB,0.00B,0.00B,640.0B,267.7ns
v_proj,819K,822KB,1.00,3.1T,memory,819KB,2.6KB,0.00B,0.00B,640.0B,267.7ns
out_proj,3.3M,3.3MB,1.00,3.1T,memory,3.3MB,2.6KB,2.6KB,0.00B,0.00B,1.1us
gate_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,2.6KB,7.2KB,0.00B,0.00B,3.0us
up_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,2.6KB,7.2KB,0.00B,0.00B,3.0us
down_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,7.2KB,2.6KB,0.00B,0.00B,3.0us
qk_matmul,2.6M,699KB,3.8,11.5T,memory,0.00B,2.6KB,41.0KB,655KB,0.00B,227.5ns
sv_matmul,2.6M,699KB,3.8,11.5T,memory,0.00B,41.0KB,2.6KB,655KB,0.00B,227.5ns
softmax,102K,81.9KB,1.2,3.8T,memory,0.00B,41.0KB,41.0KB,0.00B,0.00B,26.7ns
attn_norm,9.0K,5.1KB,1.8,5.4T,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
mlp_norm,9.0K,5.1KB,1.8,5.4T,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
attn_add,1.3K,5.1KB,0.25,768G,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
mlp_add,1.3K,5.1KB,0.25,768G,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
mlp_act,7.2K,16.9KB,0.42,1.3T,memory,0.00B,14.3KB,2.6KB,0.00B,0.00B,5.5ns
lm_head,164M,329MB,0.50,1.5T,memory,328MB,2.6KB,257KB,0.00B,0.00B,107.0us


=== ../Llama3.2-1B nvidia_H100 w_bit=16 a_bit=16 kv_bit=16 batchsize=1 seqlen=512 tp_size=1 ===
layer_name,OPs,Access,arithmetic_intensity,performance,bound,load_weight,load_act,store_act,load_kv_cache,store_kv_cache,inference_time
q_proj,3.3M,3.3MB,1.00,3.1T,memory,3.3MB,2.6KB,2.6KB,0.00B,0.00B,1.1us
k_proj,819K,822KB,1.00,3.1T,memory,819KB,2.6KB,0.00B,0.00B,640.0B,267.7ns
v_proj,819K,822KB,1.00,3.1T,memory,819KB,2.6KB,0.00B,0.00B,640.0B,267.7ns
out_proj,3.3M,3.3MB,1.00,3.1T,memory,3.3MB,2.6KB,2.6KB,0.00B,0.00B,1.1us
gate_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,2.6KB,7.2KB,0.00B,0.00B,3.0us
up_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,2.6KB,7.2KB,0.00B,0.00B,3.0us
down_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,7.2KB,2.6KB,0.00B,0.00B,3.0us
qk_matmul,1.3M,351KB,3.7,11.5T,memory,0.00B,2.6KB,20.5KB,328KB,0.00B,114.2ns
sv_matmul,1.3M,351KB,3.7,11.5T,memory,0.00B,20.5KB,2.6KB,328KB,0.00B,114.2ns
softmax,51.2K,41.0KB,1.2,3.8T,memory,0.00B,20.5KB,20.5KB,0.00B,0.00B,13.3ns
attn_norm,9.0K,5.1KB,1.8,5.4T,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
mlp_norm,9.0K,5.1KB,1.8,5.4T,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
attn_add,1.3K,5.1KB,0.25,768G,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
mlp_add,1.3K,5.1KB,0.25,768G,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
