

=== ../Llama3.2-1B nvidia_H100 w_bit=16 a_bit=16 kv_bit=16 batchsize=1 seqlen=2048 tp_size=1 ===
layer_name,OPs,Access,arithmetic_intensity,performance,bound,load_weight,load_act,store_act,load_kv_cache,store_kv_cache,inference_time
q_proj,6.7G,13.8MB,487.6,990T,compute,3.3MB,5.2MB,5.2MB,0.00B,0.00B,6.8us
k_proj,1.7G,7.4MB,227.6,699T,memory,819KB,5.2MB,0.00B,0.00B,1.3MB,2.4us
v_proj,1.7G,7.4MB,227.6,699T,memory,819KB,5.2MB,0.00B,0.00B,1.3MB,2.4us
out_proj,6.7G,13.8MB,487.6,990T,compute,3.3MB,5.2MB,5.2MB,0.00B,0.00B,6.8us
gate_proj,18.8G,29.1MB,645.8,990T,compute,9.2MB,5.2MB,14.7MB,0.00B,0.00B,19.0us
up_proj,18.8G,29.1MB,645.8,990T,compute,9.2MB,5.2MB,14.7MB,0.00B,0.00B,19.0us
down_proj,18.8G,29.1MB,645.8,990T,compute,9.2MB,14.7MB,5.2MB,0.00B,0.00B,19.0us
qk_matmul,10.7G,170MB,63.0,194T,memory,0.00B,1.3MB,168MB,1.3MB,0.00B,55.5us
sv_matmul,10.7G,174MB,61.6,189T,memory,0.00B,168MB,5.2MB,1.3MB,0.00B,56.7us
softmax,419M,336MB,1.2,3.8T,memory,0.00B,168MB,168MB,0.00B,0.00B,109.2us
attn_norm,18.4M,10.5MB,1.8,5.4T,memory,0.00B,5.2MB,5.2MB,0.00B,0.00B,3.4us
mlp_norm,18.4M,10.5MB,1.8,5.4T,memory,0.00B,5.2MB,5.2MB,0.00B,0.00B,3.4us
attn_add,2.6M,10.5MB,0.25,768G,memory,0.00B,5.2MB,5.2MB,0.00B,0.00B,3.4us
mlp_add,2.6M,10.5MB,0.25,768G,memory,0.00B,5.2MB,5.2MB,0.00B,0.00B,3.4us
mlp_act,14.7M,34.6MB,0.42,1.3T,memory,0.00B,29.4MB,5.2MB,0.00B,0.00B,11.3us
lm_head,164M,329MB,0.50,1.5T,memory,328MB,2.6KB,257KB,0.00B,0.00B,107.0us


=== ../Llama3.2-1B nvidia_H100 w_bit=16 a_bit=16 kv_bit=16 batchsize=1 seqlen=1024 tp_size=1 ===
layer_name,OPs,Access,arithmetic_intensity,performance,bound,load_weight,load_act,store_act,load_kv_cache,store_kv_cache,inference_time
q_proj,3.4G,8.5MB,393.8,990T,compute,3.3MB,2.6MB,2.6MB,0.00B,0.00B,3.4us
k_proj,839M,4.1MB,204.8,629T,memory,819KB,2.6MB,0.00B,0.00B,655KB,1.3us
v_proj,839M,4.1MB,204.8,629T,memory,819KB,2.6MB,0.00B,0.00B,655KB,1.3us
out_proj,3.4G,8.5MB,393.8,990T,compute,3.3MB,2.6MB,2.6MB,0.00B,0.00B,3.4us
gate_proj,9.4G,19.1MB,491.0,990T,compute,9.2MB,2.6MB,7.3MB,0.00B,0.00B,9.5us
up_proj,9.4G,19.1MB,491.0,990T,compute,9.2MB,2.6MB,7.3MB,0.00B,0.00B,9.5us
down_proj,9.4G,19.1MB,491.0,990T,compute,9.2MB,7.3MB,2.6MB,0.00B,0.00B,9.5us
qk_matmul,2.7G,43.3MB,62.1,191T,memory,0.00B,655KB,41.9MB,655KB,0.00B,14.1us
sv_matmul,2.7G,45.2MB,59.4,182T,memory,0.00B,41.9MB,2.6MB,655KB,0.00B,14.7us
softmax,105M,83.9MB,1.2,3.8T,memory,0.00B,41.9MB,41.9MB,0.00B,0.00B,27.3us
attn_norm,9.2M,5.2MB,1.8,5.4T,memory,0.00B,2.6MB,2.6MB,0.00B,0.00B,1.7us
mlp_norm,9.2M,5.2MB,1.8,5.4T,memory,0.00B,2.6MB,2.6MB,0.00B,0.00B,1.7us
attn_add,1.3M,5.2MB,0.25,768G,memory,0.00B,2.6MB,2.6MB,0.00B,0.00B,1.7us
mlp_add,1.3M,5.2MB,0.25,768G,memory,0.00B,2.6MB,2.6MB,0.00B,0.00B,1.7us
mlp_act,7.3M,17.3MB,0.42,1.3T,memory,0.00B,14.7MB,2.6MB,0.00B,0.00B,5.6us
lm_head,164M,329MB,0.50,1.5T,memory,328MB,2.6KB,257KB,0.00B,0.00B,107.0us


=== ../Llama3.2-1B nvidia_H100 w_bit=16 a_bit=16 kv_bit=16 batchsize=1 seqlen=512 tp_size=1 ===
layer_name,OPs,Access,arithmetic_intensity,performance,bound,load_weight,load_act,store_act,load_kv_cache,store_kv_cache,inference_time
q_proj,1.7G,5.9MB,284.4,874T,memory,3.3MB,1.3MB,1.3MB,0.00B,0.00B,1.9us
k_proj,419M,2.5MB,170.7,524T,memory,819KB,1.3MB,0.00B,0.00B,328KB,800.0ns
v_proj,419M,2.5MB,170.7,524T,memory,819KB,1.3MB,0.00B,0.00B,328KB,800.0ns
out_proj,1.7G,5.9MB,284.4,874T,memory,3.3MB,1.3MB,1.3MB,0.00B,0.00B,1.9us
gate_proj,4.7G,14.2MB,331.9,990T,compute,9.2MB,1.3MB,3.7MB,0.00B,0.00B,4.7us
up_proj,4.7G,14.2MB,331.9,990T,compute,9.2MB,1.3MB,3.7MB,0.00B,0.00B,4.7us
down_proj,4.7G,14.2MB,331.9,990T,compute,9.2MB,3.7MB,1.3MB,0.00B,0.00B,4.7us
qk_matmul,671M,11.1MB,60.2,185T,memory,0.00B,328KB,10.5MB,328KB,0.00B,3.6us
sv_matmul,671M,12.1MB,55.4,170T,memory,0.00B,10.5MB,1.3MB,328KB,0.00B,3.9us
softmax,26.2M,21.0MB,1.2,3.8T,memory,0.00B,10.5MB,10.5MB,0.00B,0.00B,6.8us
attn_norm,4.6M,2.6MB,1.8,5.4T,memory,0.00B,1.3MB,1.3MB,0.00B,0.00B,853.3ns
mlp_norm,4.6M,2.6MB,1.8,5.4T,memory,0.00B,1.3MB,1.3MB,0.00B,0.00B,853.3ns
attn_add,655K,2.6MB,0.25,768G,memory,0.00B,1.3MB,1.3MB,0.00B,0.00B,853.3ns
mlp_add,655K,2.6MB,0.25,768G,memory,0.00B,1.3MB,1.3MB,0.00B,0.00B,853.3ns
mlp_act,3.7M,8.7MB,0.42,1.3T,memory,0.00B,7.3MB,1.3MB,0.00B,0.00B,2.8us
lm_head,164M,329MB,0.50,1.5T,memory,328MB,2.6KB,257KB,0.00B,0.00B,107.0us


=== ../Llama3.2-1B nvidia_H100 w_bit=16 a_bit=16 kv_bit=16 batchsize=1 seqlen=128 tp_size=1 ===
layer_name,OPs,Access,arithmetic_intensity,performance,bound,load_weight,load_act,store_act,load_kv_cache,store_kv_cache,inference_time
q_proj,419M,3.9MB,106.7,328T,memory,3.3MB,328KB,328KB,0.00B,0.00B,1.3us
k_proj,105M,1.2MB,85.3,262T,memory,819KB,328KB,0.00B,0.00B,81.9KB,400.0ns
v_proj,105M,1.2MB,85.3,262T,memory,819KB,328KB,0.00B,0.00B,81.9KB,400.0ns
out_proj,419M,3.9MB,106.7,328T,memory,3.3MB,328KB,328KB,0.00B,0.00B,1.3us
gate_proj,1.2G,10.4MB,112.7,346T,memory,9.2MB,328KB,918KB,0.00B,0.00B,3.4us
up_proj,1.2G,10.4MB,112.7,346T,memory,9.2MB,328KB,918KB,0.00B,0.00B,3.4us
down_proj,1.2G,10.4MB,112.7,346T,memory,9.2MB,918KB,328KB,0.00B,0.00B,3.4us
qk_matmul,41.9M,819KB,51.2,157T,memory,0.00B,81.9KB,655KB,81.9KB,0.00B,266.7ns
sv_matmul,41.9M,1.1MB,39.4,121T,memory,0.00B,655KB,328KB,81.9KB,0.00B,346.7ns
softmax,1.6M,1.3MB,1.2,3.8T,memory,0.00B,655KB,655KB,0.00B,0.00B,426.7ns
attn_norm,1.1M,655KB,1.8,5.4T,memory,0.00B,328KB,328KB,0.00B,0.00B,213.3ns
mlp_norm,1.1M,655KB,1.8,5.4T,memory,0.00B,328KB,328KB,0.00B,0.00B,213.3ns
