

=== ../Llama3.2-gla-1B nvidia_H100 w_bit=16 a_bit=16 kv_bit=16 batchsize=1 seqlen=2048 tp_size=1 ===
layer_name,OPs,Access,arithmetic_intensity,performance,bound,load_weight,load_act,store_act,load_kv_cache,store_kv_cache,inference_time
q_proj,819K,822KB,1.00,3.1T,memory,819KB,2.6KB,640.0B,0.00B,0.00B,267.7ns
k_proj,164K,167KB,0.98,3.0T,memory,164KB,2.6KB,0.00B,0.00B,128.0B,54.2ns
v_proj,328K,330KB,0.99,3.0T,memory,328KB,2.6KB,0.00B,0.00B,256.0B,107.6ns
out_proj,3.3M,3.3MB,1.00,3.1T,memory,3.3MB,2.6KB,2.6KB,0.00B,0.00B,1.1us
v2o_proj,328K,329KB,0.99,3.1T,memory,328KB,1.3KB,512.0B,0.00B,0.00B,107.2ns
nl_proj,3.3M,3.3MB,1.00,3.1T,memory,3.3MB,2.6KB,2.6KB,0.00B,0.00B,1.1us
gate_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,2.6KB,7.2KB,0.00B,0.00B,3.0us
up_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,2.6KB,7.2KB,0.00B,0.00B,3.0us
down_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,7.2KB,2.6KB,0.00B,0.00B,3.0us
qk_matmul,1.3M,283KB,4.6,14.2T,memory,0.00B,640.0B,20.5KB,262KB,0.00B,92.2ns
sv_matmul,2.6M,546KB,4.8,14.7T,memory,0.00B,20.5KB,1.3KB,524KB,0.00B,177.8ns
softmax,51.2K,41.0KB,1.2,3.8T,memory,0.00B,20.5KB,20.5KB,0.00B,0.00B,13.3ns
attn_norm,9.0K,5.1KB,1.8,5.4T,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
mlp_norm,9.0K,5.1KB,1.8,5.4T,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
output_add,1.3K,5.1KB,0.25,768G,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
gate_act,2.6K,7.7KB,0.33,1.0T,memory,0.00B,5.1KB,2.6KB,0.00B,0.00B,2.5ns
attn_add,1.3K,5.1KB,0.25,768G,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
mlp_add,1.3K,5.1KB,0.25,768G,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
mlp_act,7.2K,16.9KB,0.42,1.3T,memory,0.00B,14.3KB,2.6KB,0.00B,0.00B,5.5ns
lm_head,164M,329MB,0.50,1.5T,memory,328MB,2.6KB,257KB,0.00B,0.00B,107.0us


=== ../Llama3.2-gla-1B nvidia_H100 w_bit=16 a_bit=16 kv_bit=16 batchsize=1 seqlen=1024 tp_size=1 ===
layer_name,OPs,Access,arithmetic_intensity,performance,bound,load_weight,load_act,store_act,load_kv_cache,store_kv_cache,inference_time
q_proj,819K,822KB,1.00,3.1T,memory,819KB,2.6KB,640.0B,0.00B,0.00B,267.7ns
k_proj,164K,167KB,0.98,3.0T,memory,164KB,2.6KB,0.00B,0.00B,128.0B,54.2ns
v_proj,328K,330KB,0.99,3.0T,memory,328KB,2.6KB,0.00B,0.00B,256.0B,107.6ns
out_proj,3.3M,3.3MB,1.00,3.1T,memory,3.3MB,2.6KB,2.6KB,0.00B,0.00B,1.1us
v2o_proj,328K,329KB,0.99,3.1T,memory,328KB,1.3KB,512.0B,0.00B,0.00B,107.2ns
nl_proj,3.3M,3.3MB,1.00,3.1T,memory,3.3MB,2.6KB,2.6KB,0.00B,0.00B,1.1us
gate_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,2.6KB,7.2KB,0.00B,0.00B,3.0us
up_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,2.6KB,7.2KB,0.00B,0.00B,3.0us
down_proj,9.2M,9.2MB,1.00,3.1T,memory,9.2MB,7.2KB,2.6KB,0.00B,0.00B,3.0us
qk_matmul,655K,142KB,4.6,14.2T,memory,0.00B,640.0B,10.2KB,131KB,0.00B,46.2ns
sv_matmul,1.3M,274KB,4.8,14.7T,memory,0.00B,10.2KB,1.3KB,262KB,0.00B,89.1ns
softmax,25.6K,20.5KB,1.2,3.8T,memory,0.00B,10.2KB,10.2KB,0.00B,0.00B,6.7ns
attn_norm,9.0K,5.1KB,1.8,5.4T,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
mlp_norm,9.0K,5.1KB,1.8,5.4T,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
output_add,1.3K,5.1KB,0.25,768G,memory,0.00B,2.6KB,2.6KB,0.00B,0.00B,1.7ns
gate_act,2.6K,7.7KB,0.33,1.0T,memory,0.00B,5.1KB,2.6KB,0.00B,0.00B,2.5ns
