

=== ../Llama3.2-gla-1B nvidia_H100 w_bit=16 a_bit=16 kv_bit=16 batchsize=1 seqlen=2048 tp_size=1 ===
layer_name,OPs,Access,arithmetic_intensity,performance,bound,load_weight,load_act,store_act,load_kv_cache,store_kv_cache,inference_time
q_proj,1.7G,7.4MB,227.6,699T,memory,819KB,5.2MB,1.3MB,0.00B,0.00B,2.4us
k_proj,336M,5.7MB,59.2,182T,memory,164KB,5.2MB,0.00B,0.00B,262KB,1.8us
v_proj,671M,6.1MB,110.1,338T,memory,328KB,5.2MB,0.00B,0.00B,524KB,2.0us
out_proj,6.7G,13.8MB,487.6,990T,compute,3.3MB,5.2MB,5.2MB,0.00B,0.00B,6.8us
v2o_proj,671M,4.0MB,167.9,516T,memory,328KB,2.6MB,1.0MB,0.00B,0.00B,1.3us
nl_proj,6.7G,13.8MB,487.6,990T,compute,3.3MB,5.2MB,5.2MB,0.00B,0.00B,6.8us
gate_proj,18.8G,29.1MB,645.8,990T,compute,9.2MB,5.2MB,14.7MB,0.00B,0.00B,19.0us
up_proj,18.8G,29.1MB,645.8,990T,compute,9.2MB,5.2MB,14.7MB,0.00B,0.00B,19.0us
down_proj,18.8G,29.1MB,645.8,990T,compute,9.2MB,14.7MB,5.2MB,0.00B,0.00B,19.0us
qk_matmul,2.7G,42.5MB,63.2,194T,memory,0.00B,262KB,41.9MB,262KB,0.00B,13.8us
sv_matmul,5.4G,45.1MB,119.1,366T,memory,0.00B,41.9MB,2.6MB,524KB,0.00B,14.7us
softmax,105M,83.9MB,1.2,3.8T,memory,0.00B,41.9MB,41.9MB,0.00B,0.00B,27.3us
attn_norm,18.4M,10.5MB,1.8,5.4T,memory,0.00B,5.2MB,5.2MB,0.00B,0.00B,3.4us
mlp_norm,18.4M,10.5MB,1.8,5.4T,memory,0.00B,5.2MB,5.2MB,0.00B,0.00B,3.4us
output_add,2.6M,10.5MB,0.25,768G,memory,0.00B,5.2MB,5.2MB,0.00B,0.00B,3.4us
gate_act,5.2M,15.7MB,0.33,1.0T,memory,0.00B,10.5MB,5.2MB,0.00B,0.00B,5.1us
attn_add,2.6M,10.5MB,0.25,768G,memory,0.00B,5.2MB,5.2MB,0.00B,0.00B,3.4us
mlp_add,2.6M,10.5MB,0.25,768G,memory,0.00B,5.2MB,5.2MB,0.00B,0.00B,3.4us
mlp_act,14.7M,34.6MB,0.42,1.3T,memory,0.00B,29.4MB,5.2MB,0.00B,0.00B,11.3us
lm_head,164M,329MB,0.50,1.5T,memory,328MB,2.6KB,257KB,0.00B,0.00B,107.0us


=== ../Llama3.2-gla-1B nvidia_H100 w_bit=16 a_bit=16 kv_bit=16 batchsize=1 seqlen=1024 tp_size=1 ===
layer_name,OPs,Access,arithmetic_intensity,performance,bound,load_weight,load_act,store_act,load_kv_cache,store_kv_cache,inference_time
q_proj,839M,4.1MB,204.8,629T,memory,819KB,2.6MB,655KB,0.00B,0.00B,1.3us
k_proj,168M,2.9MB,57.5,177T,memory,164KB,2.6MB,0.00B,0.00B,131KB,949.3ns
v_proj,336M,3.2MB,104.5,321T,memory,328KB,2.6MB,0.00B,0.00B,262KB,1.0us
out_proj,3.4G,8.5MB,393.8,990T,compute,3.3MB,2.6MB,2.6MB,0.00B,0.00B,3.4us
v2o_proj,336M,2.2MB,155.2,477T,memory,328KB,1.3MB,524KB,0.00B,0.00B,704.0ns
nl_proj,3.4G,8.5MB,393.8,990T,compute,3.3MB,2.6MB,2.6MB,0.00B,0.00B,3.4us
gate_proj,9.4G,19.1MB,491.0,990T,compute,9.2MB,2.6MB,7.3MB,0.00B,0.00B,9.5us
up_proj,9.4G,19.1MB,491.0,990T,compute,9.2MB,2.6MB,7.3MB,0.00B,0.00B,9.5us
down_proj,9.4G,19.1MB,491.0,990T,compute,9.2MB,7.3MB,2.6MB,0.00B,0.00B,9.5us
qk_matmul,671M,10.7MB,62.4,192T,memory,0.00B,131KB,10.5MB,131KB,0.00B,3.5us
sv_matmul,1.3G,12.1MB,111.3,342T,memory,0.00B,10.5MB,1.3MB,262KB,0.00B,3.9us
softmax,26.2M,21.0MB,1.2,3.8T,memory,0.00B,10.5MB,10.5MB,0.00B,0.00B,6.8us
attn_norm,9.2M,5.2MB,1.8,5.4T,memory,0.00B,2.6MB,2.6MB,0.00B,0.00B,1.7us
mlp_norm,9.2M,5.2MB,1.8,5.4T,memory,0.00B,2.6MB,2.6MB,0.00B,0.00B,1.7us
output_add,1.3M,5.2MB,0.25,768G,memory,0.00B,2.6MB,2.6MB,0.00B,0.00B,1.7us
gate_act,2.6M,7.9MB,0.33,1.0T,memory,0.00B,5.2MB,2.6MB,0.00B,0.00B,2.6us
attn_add,1.3M,5.2MB,0.25,768G,memory,0.00B,2.6MB,2.6MB,0.00B,0.00B,1.7us
mlp_add,1.3M,5.2MB,0.25,768G,memory,0.00B,2.6MB,2.6MB,0.00B,0.00B,1.7us
mlp_act,7.3M,17.3MB,0.42,1.3T,memory,0.00B,14.7MB,2.6MB,0.00B,0.00B,5.6us
lm_head,164M,329MB,0.50,1.5T,memory,328MB,2.6KB,257KB,0.00B,0.00B,107.0us


=== ../Llama3.2-gla-1B nvidia_H100 w_bit=16 a_bit=16 kv_bit=16 batchsize=1 seqlen=512 tp_size=1 ===
